battleID,userID,battle_name,n_sims
1,1,Fleet 1-A,5
2,2,Dark Side 1-A (Hard),5
3,2,Light Side 2-E (Hard),3
4,2,Cantina 1-F,6
5,3,Cantina 2-F,0
6,3,Cantina 2-F,0
7,1,Cantina 2-A,7
8,3,Cantina 1-F,0
8,3,Cantina 1-F,0
9,2,Cantina 1-F,4
10,1,Dark Side 1-A (Hard),5
11,3,Dark Side 1-A (Hard),0
12,3,Dark Side 1-A (Hard),0
13,3,Dark Side 1-A (Hard),0
14,3,Dark Side 1-A (Hard),0
15,3,Dark Side 1-A (Hard),0
16,3,Light Side 3-E (Hard),0
17,3,Light Side 3-E (Hard),0
18,3,Light Side 3-E (Hard),0
19,1,Light Side 3-E (Hard),5
20,2,Light Side 2-A (Hard),5
21,1,Fleet 1-E,5
22,1,Cantina 1-F,9
23,1,Dark Side 5-F (Hard),5
24,2,Cantina 1-F,7
25,2,Light Side 2-E (Hard),2
26,2,Dark Side 1-C (Hard),5
27,2,Dark Side 1-B (Hard),5
28,1,Light Side 5-E (Hard),5
29,1,Dark Side 3-E (Hard),3
30,1,Fleet 1-C,5
31,1,Cantina 2-B,3
32,1,Fleet 1-D,5
33,1,Dark Side 2-E (Hard),2
34,1,Dark Side 1-B (Hard),5
