battleID,userID,battle,n_sims
1,3,Cantina 6-G,8
2,3,Light Side 1-D (Hard),5
3,3,Dark Side 5-F (Hard),5
4,3,Fleet 4-B (Hard),3
5,1,Cantina 7-F,6
6,1,Fleet 1-B (Hard),1
7,1,Fleet 3-D (Hard),5
8,1,Light Side 9-B (Normal),17
9,1,Fleet 2-E (Hard),2
10,1,Light Side 8-F (Normal),8
11,1,Light Side 9-H (Normal),1
12,1,Light Side 8-A (Hard),5
13,1,Fleet 1-B (Hard),5
14,1,Cantina 8-F,20
15,1,Light Side 7-D (Normal),4
16,1,Fleet 3-D (Hard),3
17,3,Cantina 6-G,6
18,3,Dark Side 1-C (Hard),5
19,3,Light Side 1-C (Hard),5
20,3,Fleet 2-D (Hard),5
21,3,Dark Side 5-B (Hard),1
22,3,Fleet 4-B (Hard),2
