battleID,reward,count
1,Resistance X-wing,1
1,Mk 5 Nubian Design Tech Prototype Salvage,1
1,Mk 2 BlasTech Weapon Mod,2
1,T3 Training Droid,5
1,T2 Training Droid,5
1,T1 Enhancement Droid,10
1,Ship Building Materials,1725
1,Ally Point,240
1,Credits,5175
1,Player XP,80
2,T3 Training Droid,1
2,T2 Training Droid,1
2,T1 Enhancement Droid,2
2,Ally Point,48
2,Credits,1035
2,Ship Building Materials,345
2,Player XP,16
3,Sabine Wren,1
3,Mk 2 CEC Fusion Furnace,1
3,Mk 1 BlasTech Weapon Mod,2
3,Mk 1 Nubian Security Scanner,2
3,T2 Training Droid,2
3,T1 Training Droid,6
3,Credits,660
3,Ally Point,72
3,Player XP,24
4,Clone Wars Chewbacca,2
4,Mk 1 Athakam Medpac Salvage,1
4,Mk 1 BioTech Implant,2
4,T2 Training Droid,4
4,Credits,1060
4,Ally Point,72
4,Player XP,24
5,Mk 4 BAW Armor Mod Salvage,1
5,Mk 4 Loronar Power Cell Prototype,3
5,Mk 2 BlasTech Weapon Mod,4
5,T2 Training Droid,10
5,T1 Training Droid,10
5,Ally Point,180
5,Credits,2150
5,Player XP,60
6,Nightsister Acolyte,5
6,Ability Material Mk I,1
6,T2 Training Droid,24
6,T1,48
6,Ally Point,480
6,Credits,18000
6,Sim Tickets,1
6,Cantina Battle Tokens,156
6,Player XP,96
7,T2 Training Droid,4
7,T1 Training Droid,2
7,Ally Point,48
7,Credits,980
7,Player XP,16
8,Clone Sergeant - Phase I,1
8,Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,3
8,Mk 7 BAW Armor Mod Prototpe Salvage,3
8,Mk 1 Sienar Holo Projector,2
8,Mk 1 Nubian Design Tech,2
8,T2 Training Droid,12
8,T1 Training Droid,6
8,Credits,2940
8,Ally Point,144
8,Sim Tickets,1
8,Player XP,48
9,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
9,Mk 3 Neuro-Saav Electrobinoculars,1
9,T3 Training Droid,3
9,T2 Training Droid,3
9,T1 Enhancement Droid,6
9,Credits,3105
9,Ship Building Materials,1035
9,Ally Point,144
9,Sim Tickets,1
9,Player XP,48
10,Hera Syndulla,2
10,T2 Training Droid,16
10,T1 Training Droid,2
10,Cantina Battle Tokens,104
10,Sim Tickets,2
10,Ally Point,320
10,Credits,8000
10,Player XP,64
11,Mk 2 Chiewab Hypo Syringe,1
11,Mk 1 Neuro-Saav Electrobinoculars,1
11,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
11,T2 Training Droid,1
11,T1 Training Droid,3
11,Ally Point,36
11,Credits,430
11,Player XP,12
12,Talia,2
12,Mk 2 Arakyd Droid Caller,4
12,Mk 1 TaggeCo Holo Lens,3
12,Mk 1 Chiewab Hypo Syringe,2
12,T2 Training Droid,5
12,T1 Training Droid,15
12,Ally Point,180
12,Credits,2150
12,Player XP,60
13,Clone Wars Chewbacca,1
13,Mk 3 Neuro-Saav Electrobinoculars,3
13,Mk 1 BioTech Implant,1
13,T2 Training Droid,10
13,Ally Point,180
13,Credits,2650
13,Sim Tickets,1
13,Player XP,60
14,Mk 4 Loronar Power Cell Prototype,1
14,T2 Training Droid,2
14,T1 Training Droid,2
14,Ally Point,36
14,Credits,430
14,Player XP,12
15,Hera Syndulla,1
15,Ability Material Mk 1,1
15,T2 Training Droid,16
15,T1 Training Droid,24
15,Cantina Battle Tokens,
15,Credits,18000
15,Ally Point,320
15,Sim Tickets,2
15,Player XP,64
16,Sabine Wren,1
16,Mk 1 Nubian Security Scanner,2
16,Mk 1 BlasTech Weapon Mod,1
16,T2 Training Droid,2
16,T1 Training Droid,6
16,Credits,660
16,Ally Point,72
16,Player XP,24
17,Jedi Consular,3
17,Mk 1 BAW Armor Mod,4
17,Mk 1 CEC Fusion Furnace,3
17,Mk 1 Fabritech Data Pad,2
17,T2 Training Droid,6
17,T1 Training Droid,5
17,Credits,1650
17,Ally Point,180
17,Sim Tickets,1
17,Player XP,60
18,Rey (Scavenger),3
18,Mk 2 BAW Armor Mod Prototype,3
18,Mk 1 Loronar Powr Cell,4
18,Mk 1 A/KT Stun Gun,3
18,T2 Training Droid,5
18,T1 Training Droid,5
18,Ally Point,180
18,Credits,2150
18,Sim Tickets,1
18,Player XP,60
19,Nightsister Acolyte,2
19,T2 Training Droid,6
19,T1 Training Droid,12
19,Ally Point,120
19,Cantina Battle Tokens,39
19,Credits,4500
19,Player XP,24
20,Young Lando Calrissian,2
20,Lando's Millennium Falcon,1
20,T3 Training Droid,3
20,T2 Training Droid,3
20,T1 Enhancement Droid,6
20,Credits,3105
20,Ally Point,144
20,Ship Building Materials,1035
20,Player XP,48
21,Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,1
21,Mk 1 Sienar Holo Projector,1
21,Mk 1 Nubian Design Tech,1
21,T2 Training Droid,4
21,T1 Training Droid,2
21,Ally Point,48
21,Credits,980
21,Player XP,16
22,Clone Sergeant - Phase I,3
22,Mk 4 BAW Armor Mod Salvage,4
22,Mk 2 TaggeCo Holo Lens,3
22,T2 Training Droid,10
22,T1 Training Droid,20
22,Ally Point,180
22,Credits,2650
22,Player XP,60
23,Clone Sergeant - Phase I,1
23,T2 Training Droid,1
23,T1 Training Droid,3
23,Credits,330
23,Sim Tickets,1
23,Ally Point,36
23,Player XP,12
24,Nightsister Acolyte,7
24,Ability Material Mk 1,3
24,T2 Training Droid,30
24,T1 Training Droid,60
24,Ally Point,600
24,Cantina Battle Tokens,195
24,Credits,22500
24,Sim Tickets,1
24,Player XP,120
