battleID,reward,count
1,Finn,2
1,Ability Material Mk II,1
1,Ability Material Mk I,2
2,Bossk,2
2,Mk 9 Fabritech Data Pad Salvage,1
2,Mk 5 Nubian Security Scanner Prototype Salvage,1
2,Mk 6 TaggeCo Holo Lens Prototype Salvage,3
3,Mk 5 BlasTech Weapon Mod Prototype,4
4,Mk 9 BioTech Implant Salvage,3
4,Mk 3 Chedak Comlink Prototype Salvage,1
4,Reinforcement Materials,1
4,Ship Ability Material Mk III,1
5,Finn,4
5,Ability Material Mk II,3
5,Ability Material Mk I,6
6,Finn,2
6,Ability Material Mk II,3
6,Ability Material Mk I,2
7,Bossk,3
7,Mk 9 Fabritech Data Pad Salvage,1
7,Mk 5 Nubian Security Scanner Prototype Salvage,1
7,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
7,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
8,Mk 3 Chiewab Hypo Syringe Prototype Salvage,2
8,Mk 5 BlasTech Weapon Mod Prototype,2
9,Mk 2 Zaltin Bacta Gel Prototype Salvage,3
9,Mk 1 Carbanti Sensor Array Prototype Salvage,2
9,Mk 1 CEC Fusion Furnace,2
10,Mk 4 Chedak Comlink Prototype Salvage,2
10,Mk 1 Carbanti Sensor Array Prototype Salvage,1
