userID,type,reward,amount
1,free,Mk 3 Merr-Sonn Shield Generator,1
2,free,Mk 2 BAW Armor Mod Prototype,1
3,free,Mk 1 Chiewab Hypo Syringe Prototype,1
3,free,Mk 1 CEC Fusion Furnace,1
2,free,Mk 1 Fabritech Data Pad,1
1,free,T3 Training Droid,2
2,free,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,free,Mk 1 BioTech Implant,1
1,free,Mk 1 Nubian Security Scanner,1
3,free,Mk 2 CEC Fusion Furnace,1
2,free,Clone Wars Chebacca,1
1,free,Mk 1 Chiewab Hypo Syringe,1
1,free,Ewok Scout,1
2,free,T2 Training Droid,10
3,paid,Mk 3 BAW Armor Mod,1
3,paid,Mk 2 Nubian Security Scanner,1
3,paid,Mk 2 BlasTech Weapon Mod,1
3,paid,Credits,300
3,paid,Mk 1 Loronar Power Cell,1
3,paid,Hoth Rebel Soldier,1
3,paid,Credits,1000
3,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Mk 2 A/KT Stun Gun,1
3,paid,Mk 1 BioTech Implant,1
3,paid,Mk 3 Chiewab Hypo Syringe,1
3,paid,Mk 1 A/KT Stun Gun,1
3,paid,T2 Training Droid,10
3,paid,T2 Training Droid,10
3,paid,Mk 2 BlasTech Weapon Mod,1
3,paid,Mk 1 BioTech Implant,1
3,paid,Mk 2 BAW Armor Mod,1
3,paid,Mk 1 Merr-Sonn Shield Generator,1
3,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Mk 1 BAW Armor Mod,1
3,paid,Credits,500
3,paid,Mk 1 CEC Fusion Furnace,1
3,paid,T2 Training Droid,5
3,paid,Credits,500
3,paid,Mk 1 Merr-Sonn Shield Generator,1
3,paid,Ewok Elder,1
3,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Royal Guard,1
3,paid,Mk 2 Loronar Power Cell,1
3,paid,Poggle the Lesser,1
3,paid,Mk 1 BioTech Implant,1
3,paid,Credits,300
3,paid,Mk 2 Fabritech Data Pad,1
3,paid,Mk 1 BlasTech Weapon Mod,1
3,paid,Mk 1 CEC Fusion Furnace,1
3,paid,Mk 1 Fabritech Data Pad,1
2,paid,T1 Training Droid,10
2,paid,Mk 1 Chedak Comlink,1
2,paid,Mk 2 BAW Armor Mod Prototype,1
2,paid,Mk 1 Merr-Sonn Shield Generator,1
2,paid,Mk 1 Neuro-Saav Electrobinoculars,1
2,paid,Mk 1 Neuro-Saav Electrobinoculars,1
2,paid,Mk 4 BioTech Implant Prototype,1
2,paid,Mk 2 BlasTech Weapon Mod,1
2,paid,Mk 2 CEC Fusion Furnace,1
2,paid,URoRRuR'R'R,1
2,paid,Mk 3 SoroSuub Keypad,1
2,paid,Mk 1 Nubian Design Tech Prototype,1
2,paid,IG-86 Sentinel Droid character,1
2,paid,Mk 5 TaggeCo Holo Lens Prototype,1
1,paid,Mk 2 BlasTech Weapon Mod,1
1,paid,Mk 2 BlasTech Weapon Mod,1
1,paid,T3 Training Droid,2
1,paid,Mk 1 BlasTech Weapon Mod,1
1,paid,Mk 1 A/KT Stun Gun,1
1,paid,Mk 1 A/KT Stun Gun,1
1,paid,Mk 2 Nubian Security Scanner,1
1,paid,Mk 2 BAW Armor Mod Prototype,1
1,paid,Mk 1 A/KT Stun Gun,1
1,paid,Mk 2 Loronar Power Cell,1
1,paid,Mk 4 BioTech Implant,1
1,paid,Credits,1000
1,paid,Mk 1 Nubian Security Scanner,1
1,paid,Mk 2 BAW Armor Mod,1
1,paid,Mk 2 Neuro-Saav Electrobinoculars,1
1,paid,Mk 1 CEC Fusion Furnace,1
1,paid,Mk 1 Sienar Holo Projector,1
1,paid,Mk 2 Nubian Security Scanner,1
1,paid,Mk 2 Fabritech Data Pad,1
