userID,reward,amount
1,Mk 1 Neuro-Saav Electrobinoculars,1
2,Credits,1000
3,Mk 1 Merr-Sonn Thermal Detonator,1
1,General Veers,1
1,Mk 1 BAW Armor Mod,1
3,Mk 1 TaggeCo Holo Lens,1
2,Mk 1 Nubian Design Tech,1
2,Credits,500
1,Snowtrooper,1
1,Mk 1 Chiewab Hypo Syringe,1
1,Mk 3 BlasTech Weapon Mod,1
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 Nubian Security Scanner Prototype,1
1,Credits,700
1,Mk 2 BAW Armor Mod Prototype,1
1,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
1,T3 Training Droid,1
1,Mk 2 BlasTech Weapon Mod,1
1,Mk 2 BioTech Implant,1
1,Mk 1 Chiewab Hypo Syringe Prototype,1
1,Mk 2 Nubian Security Scanner Prototype,1
1,Credits,700
1,T1 Training Droid,10
1,Mk 2 Nubian Security Scanner,1
1,Mk 1 Merr-Sonn Shield Generator,1
1,Mk 5 Merr-Sonn Shield Generator,1
